Queue_Position,Task_ID,Task_Name,Priority,Reclassified_Department,Category,Blocking_Dependencies,Assigned_To,Estimated_Duration,Business_Impact,Complexity_Score,Quick_Win_Flag,Match_Confidence,Matched_Template
200,TSK-383,Parse recent videos for LinkedIn content,High,Video,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
201,TSK-384,Create carousel posts from video content,High,SMM,Development,,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
202,TSK-388,Test backend generation on small entity,High,AI,Testing,,TBD,TBD,Internal,2,No,High,CUSTOM
203,TSK-391,Organize API tokens management,High,Development,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
204,TSK-392,Fix taxonomy location (move if needed),High,Finance,Maintenance,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
205,TSK-393,Integrate checklist items into task system,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
206,TSK-394,Fix cursor flickering issue,High,AI,Maintenance,,TBD,TBD,Internal,2,No,High,CUSTOM
207,TSK-320,Implement Entity Identification System v1.0,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
208,TSK-321,Set up multi-instance AI tool workflow,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
209,TSK-323,Automate daily employee task assignment,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
210,TSK-324,Build employee choice/selection system,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,High,Task-Template-041
211,TSK-325,Collect Discord voice logs for analytics,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
212,TSK-326,Process department prompt logs daily,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
213,TSK-327,Convert Workflows to Projects in TASK_MANAGERS,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
214,TSK-328,Assign IDs to all ENTITIES folders,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
215,TSK-329,"Create MCP agent system (employees, libs, academy)",High,HR,Development,,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,High,Task-Template-042
216,TSK-330,Build screenshot verification automation,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,High,Task-Template-041
217,TSK-233,Create department-specific daily analysis prompts,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
218,TSK-235,Iterate prompts for better report quality,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
219,TSK-236,Process tutorials from Department DropBox,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
220,TSK-238,Export and process from Online Academy,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
221,TSK-239,Create REPORTS folder in ENTITIES,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
222,TSK-240,Add taxonomy for REPORTS entity,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
223,TSK-241,Integrate IDS system (RPT-###),High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
224,TSK-242,Import example reports,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
225,TSK-243,Create report classification system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
226,TSK-244,Update master taxonomy,High,Finance,Task,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
227,TSK-245,Create Tasks folder in Dailies,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
228,TSK-246,Create Plans folder in Dailies,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
229,TSK-247,Add employee identification system,High,HR,Task,,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,Medium,Task-Template-042
230,TSK-248,Cross-reference Task Manager with Online Academy,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
231,TSK-250,Add IDs to Online Academy content,High,SMM,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
232,TSK-251,Apply taxonomy to Academy structure,High,Finance,Task,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
233,TSK-252,Create detailed onboarding tasks with steps,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,Medium,Task-Template-041
234,TSK-254,Create data flow clarification project,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
235,TSK-255,Run methodologies skill-up project research,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
236,TSK-256,Create VS Code instruction tutorials,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
237,TSK-257,Implement logging to LOG folder during data population,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
238,TSK-258,Implement TSM-### ID system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
239,TSK-259,Create TSM-001_Project_Template,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
240,TSK-260,Document data import flows,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
241,TSK-261,Define structured vs unstructured data handling,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
242,TSK-262,"Create input type taxonomy (Research, Video, etc.)",High,Finance,Development,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
243,TSK-263,Create employee TODO file system,High,HR,Development,,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,High,Task-Template-042
244,TSK-264,Write learning materials generation guide,High,Design,Documentation,,Designer / Developer / Creative Professional,2 hours (45 min organization + 45 min documentation + 30 min updates),Internal,2,No,High,Task-Template-077
245,TSK-265,"Enforce ""prompt-first"" rule",High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
246,TSK-266,Create taxonomy introduction materials,High,Finance,Development,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
247,TSK-267,Update daily review prompts,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
248,TSK-268,Locate all department prompts in Nov25 folders,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
249,TSK-269,Consolidate prompts to ENTITIES/PROMPTS,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
250,TSK-270,Create data import scripts,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
251,TSK-271,Research AirTable integration options,High,Development,Research,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
252,TSK-272,Design Task Manager choice/selection system,High,AI,Design,,TBD,TBD,Internal,2,No,High,CUSTOM
253,TSK-273,Import accounts to ENTITIES,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
254,TSK-274,Create accounts microservice,High,Sales,Development,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
255,TSK-275,Bind gmails to tools,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
256,TSK-276,Integrate accounts into AI Catalog,High,Sales,Integration,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
257,TSK-278,Set up database for accounts,High,Sales,Task,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
258,TSK-280,Document departments folder architecture,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
259,TSK-281,Restore data processes pipelines,High,Sales,Task,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
260,TSK-285,Add dates to Activity 3,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
261,TSK-286,Verify LG data in DropBox,High,AI,Testing,,TBD,TBD,Internal,2,No,High,CUSTOM
262,TSK-287,Process items in IMPORTS folder,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
263,TSK-288,Create list of reserved names in ENTITIES,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
264,TSK-289,Create list of videos to transcribe,High,Video,Development,,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
265,TSK-290,Put video transcriptions into people tasks,High,Video,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
266,TSK-291,Run prompts for video search,High,Video,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
267,TSK-292,Purchase Gemini Ultra on Admin account,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
268,TSK-293,Create transcription execution list with IDs,High,Video,Development,,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
269,TSK-296,Define next milestone triggers (Data Population),High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
270,TSK-297,Create Content Entity,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
271,TSK-298,Create Content Department,High,SMM,Development,,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
272,TSK-299,Integrate shifts management,High,HR,Integration,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
273,TSK-300,Create shortcuts lesson/post,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
274,TSK-301,Prepare list of researches for Entity: Researches,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
275,TSK-302,Research YouTube videos for transcription,High,Video,Research,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-045
276,TSK-305,List automations to learn or integrate,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
277,TSK-306,Task: Search for videos (template),High,Video,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
278,TSK-307,Hosting in Vercel (Dev account),High,Sales,Task,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
279,TSK-308,Automate library update,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
280,TSK-309,Canva download/integration,High,Development,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
281,TSK-310,Create six must-have files list,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
282,TSK-311,Design core documents,High,Design,Documentation,,Designer / Developer / Creative Professional,2 hours (45 min organization + 45 min documentation + 30 min updates),Internal,2,No,High,Task-Template-077
283,TSK-312,Create Pre-Sale candidate tracking system,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,High,Task-Template-041
284,TSK-313,Add Ukandu Christopher to Pre-Sale list,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
285,TSK-314,Sign contract with Borovik for client interview,High,Sales,Task,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
286,TSK-315,Prepare Borovik for tomorrow's client interview,High,Sales,Task,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
287,TSK-316,Create candidate warming system for hot list,High,HR,Development,,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,High,Task-Template-042
288,TSK-317,Document interview requirements checklist,High,HR,Documentation,,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,Medium,Task-Template-042
289,TSK-318,Create interview scoring rubric,High,HR,Development,,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,High,Task-Template-042
290,TSK-319,Follow up with Valeriia on trial terms,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
291,TSK-106,Find historical search queries file on Google Drive,High,AI,Task,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
292,TSK-108,Create detailed prompt for query generation (Column H),High,AI,Development,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
293,TSK-109,Build URL parsing script,High,AI,Development,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
294,TSK-110,Extract company name from URLs,High,AI,Task,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
295,TSK-111,Connect scraper to CRM automation,High,Sales,Integration,PRT-011,Sales Manager,4-5 hours for 50 emails,Internal,2,No,High,Task-Template-021
296,TSK-112,Implement duplicate checking against CRM,High,Sales,Development,PRT-011,Sales Manager,4-5 hours for 50 emails,Internal,2,No,High,Task-Template-021
297,TSK-116,Document scraping system (20% checkpoint),High,Development,Documentation,PRT-012,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
298,TSK-117,Research world methodologies on Google Maps scraping,High,Lead Generation,Research,PRT-012,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
299,TSK-120,Implement social media scraping,High,SMM,Development,PRT-012,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
300,TSK-121,Test review system with live data,High,AI,Research,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
301,TSK-122,Launch system with LGN team,High,AI,Task,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
302,TSK-124,Review other entities' taxonomy,High,AI,Research,PRT-013,TBD,TBD,Internal,2,No,High,CUSTOM
303,TSK-129,Share dashboard access with all departments,High,AI,Task,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
304,TSK-130,Fix white text display,High,AI,Maintenance,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
305,TSK-131,Add tool filtering feature,High,AI,Task,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
306,TSK-132,Implement user login tracking,High,AI,Development,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
307,TSK-133,Create user assignment system,High,AI,Development,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
308,TSK-135,Add calendar feature,High,AI,Task,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
309,TSK-137,Integrate with LibDev catalog,High,AI,Integration,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
310,TSK-138,Document dashboard usage,High,AI,Documentation,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
311,TSK-139,Create employee training materials,High,HR,Development,PRT-014,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,Medium,Task-Template-041
312,TSK-140,Teach Vilhelm video parsing workflow,High,Video,Task,PRT-015,TBD,TBD,Internal,2,No,Medium,CUSTOM
313,TSK-142,Configure Vilhelm's key bindings,High,Video,Task,PRT-015,TBD,TBD,Internal,2,No,Medium,CUSTOM
314,TSK-143,Introduce Vilhelm to ENTITIES structure,High,AI,Task,PRT-015,TBD,TBD,Internal,2,No,High,CUSTOM
315,TSK-144,Assign Vilhelm accounts with limits,High,Sales,Task,PRT-015,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
316,TSK-145,Vilhelm: Research YouTube channels on Google Maps scraping,High,Lead Generation,Research,PRT-015,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
317,TSK-146,Vilhelm: Parse 3-4 videos by Monday,High,Video,Task,PRT-015,TBD,TBD,Internal,2,No,Medium,CUSTOM
318,TSK-147,"Vilhelm: Create ""Deep Research"" task",High,AI,Development,PRT-015,TBD,TBD,Internal,2,No,High,CUSTOM
319,TSK-148,Vilhelm: Check Online Academy for Deep Research content,High,SMM,Research,PRT-015,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
320,TSK-149,Vilhelm: Integrate prompts into ENTITIES ecosystem,High,AI,Integration,PRT-015,TBD,TBD,Internal,2,No,High,CUSTOM
321,TSK-150,Document current AI tools tracking system,High,AI,Documentation,PRT-016,AI Researcher / Content Specialist,5-8 hours (3-5 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-048
322,TSK-151,Add user assignment field to accounts,High,Sales,Task,PRT-016,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
323,TSK-152,Implement login session tracking,High,AI,Development,PRT-016,TBD,TBD,Internal,2,No,High,CUSTOM
324,TSK-153,Create token usage alerts,High,AI,Development,PRT-016,TBD,TBD,Internal,2,No,High,CUSTOM
325,TSK-154,Purchase additional AI tool accounts,High,AI,Task,PRT-016,TBD,TBD,Internal,2,No,High,CUSTOM
326,TSK-156,Build account rotation recommendations,High,Sales,Development,PRT-016,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
327,TSK-158,Create prompt for task page generation,High,AI,Development,PRT-017,TBD,TBD,Internal,2,No,High,CUSTOM
328,TSK-160,Test with Deep Research task,High,AI,Research,PRT-017,TBD,TBD,Internal,2,No,High,CUSTOM
329,TSK-161,Create research queue/line system,High,AI,Development,PRT-017,TBD,TBD,Internal,2,No,High,CUSTOM
330,TSK-162,Integrate with TASK_MANAGERS data,High,AI,Integration,PRT-017,TBD,TBD,Internal,2,No,High,CUSTOM
331,TSK-163,Create CONTENT entity folder,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
332,TSK-164,Define CONTENT entity taxonomy,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
333,TSK-165,Create Master CSV for CONTENT,High,SMM,Development,,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
334,TSK-166,Populate with existing tutorials,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
335,TSK-167,Research Figma AI tutorial videos,High,Video,Research,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-045
336,TSK-168,Build video catalog app,High,Video,Development,,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
337,TSK-169,Implement clickable timestamps,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
338,TSK-170,Create minimum parse list,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
339,TSK-171,Review current video processing taxonomy,High,Finance,Research,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
340,TSK-172,Identify taxonomy improvements,High,Finance,Task,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
341,TSK-173,Implement taxonomy upgrades,High,Finance,Development,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
342,TSK-174,Document video editor processed works,High,Video,Documentation,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-045
343,TSK-175,Define Google Drive storage locations,High,Video,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
344,TSK-176,Research Gravity AI tool capabilities,High,AI,Research,,AI Researcher / Content Specialist,5-8 hours (3-5 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-048
345,TSK-177,Integrate Responsibilities into LBS taxonomy,High,Finance,Integration,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
346,TSK-178,Document Gravity integration,High,Development,Documentation,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
347,TSK-179,Prepare shifts management system,High,HR,Task,,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,Medium,Task-Template-042
348,TSK-180,Document schedule management techniques,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
349,TSK-181,Connect research to posting schedule,High,SMM,Research,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
350,TSK-182,Create BUSINESSES entity folder,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
351,TSK-183,Define BUSINESSES entity taxonomy,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
352,TSK-184,Document client interview process,High,Sales,Documentation,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
353,TSK-185,Track Friday client scheduling,High,Sales,Task,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
354,TSK-186,Store interview recordings/notes,High,HR,Task,,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,Medium,Task-Template-042
355,TSK-187,Define profession categories,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
356,TSK-188,Populate tutorials per profession,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
357,TSK-192,Define pricing per profession,High,Finance,Task,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
358,TSK-193,Create UI for InnerClient system,High,Sales,Development,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
359,TSK-194,Set up human curation process,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
360,TSK-196,Research Dropbox API synchronization,High,Development,Research,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
361,TSK-198,Create knowledge gap identification process,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
362,TSK-199,Implement Read/Write/Save reminder system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
363,TSK-203,Document Monday progress,High,Design,Documentation,,Designer / Developer / Creative Professional,2 hours (45 min organization + 45 min documentation + 30 min updates),Internal,2,No,High,Task-Template-077
364,TSK-205,Review all designer portfolios,High,Design,Research,,AI Researcher / Content Specialist,5-8 hours (3-5 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-048
365,TSK-210,Train designers on AI tools,High,AI,Design,,TBD,TBD,Internal,2,No,High,CUSTOM
366,TSK-211,Design financial framework structure,High,Finance,Design,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,High,Task-Template-081
367,TSK-212,Create data sets for financial wiki,High,Finance,Development,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
368,TSK-213,Document calculation sources,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
369,TSK-214,Collect employee profiles for Talents,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
370,TSK-215,Create modified public profiles,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
371,TSK-216,Implement log files in every entity folder,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
372,TSK-217,Create main researchers' log,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
373,TSK-219,Create step-by-step documentation templates,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
374,TSK-220,Identify department data gaps,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
375,TSK-221,Create TODO file system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
376,TSK-223,Implement daily TODO generation,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
377,TSK-224,Document transcription best practices,High,Video,Documentation,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
378,TSK-225,Improve dictation-to-entity workflow,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
379,TSK-226,Fix unpredictable save locations,High,AI,Maintenance,,TBD,TBD,Internal,2,No,High,CUSTOM
380,TSK-227,Standardize report storage paths,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
381,TSK-228,Document report generation process,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
382,TSK-229,Create attendance_dashboard asset,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,Medium,Task-Template-041
383,TSK-230,Write README with all links,High,Development,Documentation,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
384,TSK-231,Set up version tracking,High,Development,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
385,TSK-232,Document design updates log,High,Design,Documentation,,Designer / Developer / Creative Professional,2 hours (45 min organization + 45 min documentation + 30 min updates),Internal,2,No,High,Task-Template-077
386,TSK-030,Interviews Lists to MD Files,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
387,TSK-031,Clear Lists of Candidates Sources,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
388,TSK-032,HR Onboarding preparation,High,HR,Task,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,Medium,Task-Template-044
389,TSK-033,Integrate Individual Employee Testing,High,HR,Integration,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
390,TSK-034,Discord Bot notifications,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
391,TSK-035,Expand Industries,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
392,TSK-036,LG Message Templates,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
393,TSK-037,Prospects Architecture Improvement,High,Sales,Task,PRT-009,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
394,TSK-038,Feed database: 300 new leads daily,High,Development,Task,PRT-009,TBD,TBD,Internal,2,No,Medium,CUSTOM
395,TSK-040,Target audience analysis,High,AI,Task,PRT-009,TBD,TBD,Internal,2,No,High,CUSTOM
396,TSK-041,Extract/analyze LG conversations,High,AI,Research,PRT-009,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-045
397,TSK-042,Build look-alike auditory,High,Design,Development,PRT-009,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,High,Task-Template-042
398,TSK-043,Testing Individual Scraping Techniques,High,Development,Testing,,HR Manager / Social Media Specialist,1.5-2 hours,Internal,2,No,Medium,Task-Template-043
399,TSK-044,LG Department Core Principles Doc,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
400,TSK-045,Obligatory: Save 5 Templates + Screenshot,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
401,TSK-046,Sales Email Templates,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
402,TSK-047,Connect to Google Calendar,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
403,TSK-048,Scrape Event Metadata,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
404,TSK-049,Populate Business Entity from Sales,High,AI,Task,PRT-010,TBD,TBD,Internal,2,No,High,CUSTOM
405,TSK-050,Get CRM Data on Daily LeadGen Cards,High,Sales,Task,,TBD,TBD,Internal,2,No,High,Task-Template-050
406,TSK-051,Learning Flow Step-by-Step Development,High,Development,Development,,TBD,TBD,Internal,2,No,High,Task-Template-051
407,TSK-052,Track Task Completions via Microservices,High,Development,Task,,TBD,TBD,Internal,2,No,High,Task-Template-052
408,TSK-053,Synchronize Libs with Online Academy,High,Development,Integration,,TBD,TBD,Internal,2,No,High,Task-Template-053
