Task_ID,Task_Name,Original_Department,Reclassified_Department,Priority,Primary_Role,Responsible_Person,Accountable_Person,Consulted_Roles,Informed_Roles,Assignment_Status,Estimated_Duration,Required_Skills,Responsibility_Match
TSK-278,Set up database for accounts,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-279,Create reusable microservice template,AI,Development,High,AI Engineer,AI Engineer,Development Lead,,"Operations Team, Automation Team",Proposed,1-2 minutes,,N/A
TSK-280,Document departments folder architecture,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-281,Restore data processes pipelines,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-282,Create clear file location guidance,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-283,Build progress count updating script,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-284,Create tasks import guide,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-285,Add dates to Activity 3,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-286,Verify LG data in DropBox,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-287,Process items in IMPORTS folder,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-288,Create list of reserved names in ENTITIES,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-289,Create list of videos to transcribe,AI,Video,High,AI Researcher / Developer,TBD,Video Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,produce videos
TSK-290,Put video transcriptions into people tasks,AI,Video,High,Specialist,TBD,Video Lead,,,Proposed,TBD,,produce videos
TSK-291,Run prompts for video search,AI,Video,High,Specialist,TBD,Video Lead,,,Proposed,TBD,,produce videos
TSK-292,Purchase Gemini Ultra on Admin account,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-293,Create transcription execution list with IDs,AI,Video,High,AI Researcher / Developer,TBD,Video Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,produce videos
TSK-294,Build execution tracking system,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-295,Create execution update guides,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-296,Define next milestone triggers (Data Population),AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-297,Create Content Entity,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-298,Create Content Department,AI,SMM,High,AI Researcher / Developer,TBD,SMM Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-299,Integrate shifts management,AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-300,Create shortcuts lesson/post,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-301,Prepare list of researches for Entity: Researches,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-302,Research YouTube videos for transcription,AI,Video,High,AI Researcher / Video Production Specialist,TBD,Video Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,produce videos
TSK-303,Build automation posting,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-304,Train AI to build research tasks for people,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-305,List automations to learn or integrate,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-306,Task: Search for videos (template),AI,Video,High,Specialist,TBD,Video Lead,,,Proposed,TBD,,produce videos
TSK-307,Hosting in Vercel (Dev account),AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-308,Automate library update,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-309,Canva download/integration,AI,Development,High,Specialist,TBD,Development Lead,,,Proposed,TBD,,N/A
TSK-310,Create six must-have files list,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-311,Design core documents,AI,Design,High,Designer / Developer / Creative Professional,TBD,Design Lead,,,Proposed,2 hours (45 min organization + 45 min documentation + 30 min updates),,design UI mockups
TSK-312,Create Pre-Sale candidate tracking system,HR,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-313,Add Ukandu Christopher to Pre-Sale list,HR,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-314,Sign contract with Borovik for client interview,HR,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-315,Prepare Borovik for tomorrow's client interview,HR,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-316,Create candidate warming system for hot list,HR,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,1.5-2 hours,,N/A
TSK-317,Document interview requirements checklist,HR,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,1.5-2 hours,,N/A
TSK-318,Create interview scoring rubric,HR,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,1.5-2 hours,,N/A
TSK-319,Follow up with Valeriia on trial terms,AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-106,Find historical search queries file on Google Drive,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-107,Reformat LinkedIn queries for Google Maps,AI,Lead Generation,High,Lead Generation Specialist / Sales Development Rep,TBD,Lead Generation Lead,,,Proposed,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),,generate leads
TSK-108,Create detailed prompt for query generation (Column H),AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-109,Build URL parsing script,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-110,Extract company name from URLs,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-111,Connect scraper to CRM automation,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-112,Implement duplicate checking against CRM,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-113,Test scraping with 3-4 videos about Google Maps scraping,AI,Lead Generation,High,Lead Generation Specialist / Sales Development Rep,TBD,Lead Generation Lead,,,Proposed,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),,generate leads
TSK-114,"Allocate 5 lead generators, 1-2 hours/day for Google Maps",AI,Lead Generation,High,Lead Generation Specialist / Sales Development Rep,TBD,Lead Generation Lead,,,Proposed,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),,generate leads
TSK-115,Create attractive offer for leads (20 Google vs 5 LinkedIn),AI,Lead Generation,High,Lead Generation Specialist / Sales Development Rep,TBD,Lead Generation Lead,,,Proposed,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),,generate leads
TSK-116,Document scraping system (20% checkpoint),AI,Development,High,AI Researcher / Video Production Specialist,TBD,Development Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-117,Research world methodologies on Google Maps scraping,AI,Lead Generation,High,AI Researcher / Video Production Specialist,TBD,Lead Generation Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,generate leads
TSK-118,Create guidelines for reviews scraping direction,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-119,Add source marking for Google Maps data,AI,Lead Generation,High,Lead Generation Specialist / Sales Development Rep,TBD,Lead Generation Lead,,,Proposed,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),,generate leads
TSK-120,Implement social media scraping,AI,SMM,High,AI Researcher / Developer,TBD,SMM Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-121,Test review system with live data,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-122,Launch system with LGN team,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-123,Create Job Sites folder in ENTITIES/ACCOUNTS,AI,Lead Generation,High,Lead Generation Specialist / Sales Development Rep,TBD,Lead Generation Lead,,,Proposed,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),,generate leads
TSK-124,Review other entities' taxonomy,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-125,Build Job Sites entity structure,AI,Lead Generation,High,Lead Generation Specialist / Sales Development Rep,TBD,Lead Generation Lead,,,Proposed,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),,generate leads
TSK-126,Create Master JSON for Job Sites,AI,Lead Generation,High,Lead Generation Specialist / Sales Development Rep,TBD,Lead Generation Lead,,,Proposed,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),,generate leads
TSK-127,Document Job Sites entity,AI,Lead Generation,High,Lead Generation Specialist / Sales Development Rep,TBD,Lead Generation Lead,,,Proposed,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),,generate leads
TSK-128,Deploy v1.0 to Vercel,AI,Development,High,AI Engineer,AI Engineer,Development Lead,"Backend Developer, Operations Team","Automation Team, End Users",Proposed,5-10 minutes with AI assistance,"SKL-071 (deployed MCP connectors via Cursor), SKL-075 (configured OAuth for Google APIs - if needed)",N/A
TSK-129,Share dashboard access with all departments,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-130,Fix white text display,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-131,Add tool filtering feature,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-132,Implement user login tracking,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-133,Create user assignment system,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-134,Integrate UI Kit from Eleanor's work,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-135,Add calendar feature,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-136,Build API for dashboard data,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-137,Integrate with LibDev catalog,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-138,Document dashboard usage,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-139,Create employee training materials,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-140,Teach Vilhelm video parsing workflow,Video,Video,High,Specialist,TBD,Video Lead,,,Proposed,TBD,,produce videos
TSK-141,Set up Vilhelm's VS Code with Claude Extension,Video,AI,High,Executive Assistant,Executive Assistant,Executive or Manager,AI Engineer for setup,"Executive, Team members",Proposed,Auto-draft: <1 minute | Review: 10 minutes,SKL-072 (automated emails via Gmail MCP),N/A
TSK-142,Configure Vilhelm's key bindings,Video,Video,High,Specialist,TBD,Video Lead,,,Proposed,TBD,,produce videos
TSK-143,Introduce Vilhelm to ENTITIES structure,Video,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-144,Assign Vilhelm accounts with limits,Video,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-145,Vilhelm: Research YouTube channels on Google Maps scraping,Video,Lead Generation,High,AI Researcher / Video Production Specialist,TBD,Lead Generation Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,generate leads
TSK-146,Vilhelm: Parse 3-4 videos by Monday,AI,Video,High,Specialist,TBD,Video Lead,,,Proposed,TBD,,produce videos
TSK-147,"Vilhelm: Create ""Deep Research"" task",AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-148,Vilhelm: Check Online Academy for Deep Research content,AI,SMM,High,AI Researcher / Video Production Specialist,TBD,SMM Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-149,Vilhelm: Integrate prompts into ENTITIES ecosystem,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-150,Document current AI tools tracking system,AI,AI,High,AI Researcher / Content Specialist,TBD,AI Lead,,,Proposed,5-8 hours (3-5 hours research + 2-3 hours documentation),,N/A
TSK-151,Add user assignment field to accounts,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-152,Implement login session tracking,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-153,Create token usage alerts,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-154,Purchase additional AI tool accounts,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-155,Sync Dropbox Tools to libdev.com,AI,Development,High,AI Engineer,AI Engineer,Development Lead,"Backend Developer, Operations Team","Automation Team, End Users",Proposed,5-10 minutes with AI assistance,"SKL-071 (deployed MCP connectors via Cursor), SKL-075 (configured OAuth for Google APIs - if needed)",N/A
TSK-156,Build account rotation recommendations,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-157,Design single task page layout,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-158,Create prompt for task page generation,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-159,Build HTML template for single task,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-160,Test with Deep Research task,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-161,Create research queue/line system,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-162,Integrate with TASK_MANAGERS data,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-163,Create CONTENT entity folder,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-164,Define CONTENT entity taxonomy,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-165,Create Master CSV for CONTENT,AI,SMM,High,AI Researcher / Developer,TBD,SMM Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-166,Populate with existing tutorials,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-167,Research Figma AI tutorial videos,AI,Video,High,AI Researcher / Video Production Specialist,TBD,Video Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,produce videos
TSK-168,Build video catalog app,AI,Video,High,AI Researcher / Developer,TBD,Video Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,produce videos
TSK-169,Implement clickable timestamps,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-170,Create minimum parse list,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-171,Review current video processing taxonomy,AI,Finance,High,AI Researcher / Video Production Specialist,TBD,Finance Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-172,Identify taxonomy improvements,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-173,Implement taxonomy upgrades,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-174,Document video editor processed works,Video,Video,High,AI Researcher / Video Production Specialist,TBD,Video Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,produce videos
TSK-175,Define Google Drive storage locations,Video,Video,High,Specialist,TBD,Video Lead,,,Proposed,TBD,,produce videos
TSK-176,Research Gravity AI tool capabilities,AI,AI,High,AI Researcher / Content Specialist,TBD,AI Lead,,,Proposed,5-8 hours (3-5 hours research + 2-3 hours documentation),,N/A
TSK-177,Integrate Responsibilities into LBS taxonomy,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-178,Document Gravity integration,AI,Development,High,AI Researcher / Video Production Specialist,TBD,Development Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-179,Prepare shifts management system,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,1.5-2 hours,,N/A
TSK-180,Document schedule management techniques,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-181,Connect research to posting schedule,AI,SMM,High,AI Researcher / Video Production Specialist,TBD,SMM Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-182,Create BUSINESSES entity folder,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-183,Define BUSINESSES entity taxonomy,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-184,Document client interview process,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-185,Track Friday client scheduling,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-186,Store interview recordings/notes,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,1.5-2 hours,,N/A
TSK-187,Define profession categories,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-188,Populate tutorials per profession,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-189,Create guidelines per profession,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-190,Build AI assistant framework,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-191,Design InnerClient concept,AI,Sales,High,Specialist,TBD,Sales Lead,,,Proposed,20-30 minutes,,manage sales pipeline
TSK-192,Define pricing per profession,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-193,Create UI for InnerClient system,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-194,Set up human curation process,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-195,Sync Dropbox Tools library to libdev.com,AI,Development,High,AI Engineer,AI Engineer,Development Lead,"Backend Developer, Operations Team","Automation Team, End Users",Proposed,5-10 minutes with AI assistance,"SKL-071 (deployed MCP connectors via Cursor), SKL-075 (configured OAuth for Google APIs - if needed)",N/A
TSK-196,Research Dropbox API synchronization,AI,Development,High,AI Researcher / Video Production Specialist,TBD,Development Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-197,Build manual sync script (fallback),AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-198,Create knowledge gap identification process,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-199,Implement Read/Write/Save reminder system,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-200,Monday call at 9 AM,Design,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-201,Vilhelm + Yulya: Collect designer works,Design,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-202,Implement designer work storage in Dropbox,Design,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-203,Document Monday progress,Design,Design,High,Designer / Developer / Creative Professional,TBD,Design Lead,,,Proposed,2 hours (45 min organization + 45 min documentation + 30 min updates),,design UI mockups
TSK-204,Create plans for next stage,Design,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-205,Review all designer portfolios,AI,Design,High,AI Researcher / Content Specialist,TBD,Design Lead,,,Proposed,5-8 hours (3-5 hours research + 2-3 hours documentation),,design UI mockups
TSK-206,Mandate Dropbox work storage for designers,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-207,Create daily work documentation requirement,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-208,Diversify designer portfolios,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-209,Build case studies library,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-210,Train designers on AI tools,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-211,Design financial framework structure,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-212,Create data sets for financial wiki,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-213,Document calculation sources,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-214,Collect employee profiles for Talents,AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-215,Create modified public profiles,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-216,Implement log files in every entity folder,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-217,Create main researchers' log,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-218,Build structured guidelines for manual assignment,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-219,Create step-by-step documentation templates,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-220,Identify department data gaps,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-221,Create TODO file system,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-222,Build AI prompt for task distribution,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-223,Implement daily TODO generation,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-224,Document transcription best practices,AI,Video,High,AI Researcher / Video Production Specialist,TBD,Video Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,produce videos
TSK-225,Improve dictation-to-entity workflow,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-226,Fix unpredictable save locations,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-227,Standardize report storage paths,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-228,Document report generation process,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-229,Create attendance_dashboard asset,Development,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-230,Write README with all links,Development,Development,High,AI Researcher / Video Production Specialist,TBD,Development Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-231,Set up version tracking,Development,Development,High,Specialist,TBD,Development Lead,,,Proposed,TBD,,N/A
TSK-232,Document design updates log,Development,Design,High,Designer / Developer / Creative Professional,TBD,Design Lead,,,Proposed,2 hours (45 min organization + 45 min documentation + 30 min updates),,design UI mockups
TSK-030,Interviews Lists to MD Files,AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-031,Clear Lists of Candidates Sources,HR,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-032,HR Onboarding preparation,HR,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-033,Integrate Individual Employee Testing,HR,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-034,Discord Bot notifications,HR,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-035,Expand Industries,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-036,LG Message Templates,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-037,Prospects Architecture Improvement,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-038,Feed database: 300 new leads daily,AI,Development,High,Specialist,TBD,Development Lead,,,Proposed,TBD,,N/A
TSK-039,Populate leads with classifications,AI,Lead Generation,High,Lead Generation Specialist / Sales Development Rep,TBD,Lead Generation Lead,,,Proposed,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),,generate leads
TSK-040,Target audience analysis,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-041,Extract/analyze LG conversations,AI,AI,High,AI Researcher / Video Production Specialist,TBD,AI Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-042,Build look-alike auditory,AI,Design,High,HR Manager / Operations Specialist,TBD,Design Lead,,,Proposed,1.5-2 hours,,design UI mockups
TSK-043,Testing Individual Scraping Techniques,AI,Development,High,HR Manager / Social Media Specialist,TBD,Development Lead,,,Proposed,1.5-2 hours,,N/A
TSK-044,LG Department Core Principles Doc,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-045,Obligatory: Save 5 Templates + Screenshot,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-046,Sales Email Templates,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-047,Connect to Google Calendar,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-048,Scrape Event Metadata,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-049,Populate Business Entity from Sales,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-050,Get CRM Data on Daily LeadGen Cards,AI,Sales,High,Specialist,TBD,Sales Lead,,,Proposed,TBD,,manage sales pipeline
TSK-051,Learning Flow Step-by-Step Development,Development,Development,High,Specialist,TBD,Development Lead,,,Proposed,TBD,,N/A
TSK-052,Track Task Completions via Microservices,Development,Development,High,Specialist,TBD,Development Lead,,,Proposed,TBD,,N/A
TSK-053,Synchronize Libs with Online Academy,Development,Development,High,Specialist,TBD,Development Lead,,,Proposed,TBD,,N/A
TSK-054,Connect Task Managers to Libs,Development,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-055,Task Manager Dashboard with Database,Development,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
