Queue_Position,Task_ID,Task_Name,Priority,Department,Category,Blocking_Dependencies,Assigned_To,Estimated_Duration,Business_Impact,Complexity_Score,Quick_Win_Flag,Match_Confidence,Matched_Template
241,TSK-300,Create shortcuts lesson/post,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
242,TSK-301,Prepare list of researches for Entity: Researches,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
243,TSK-302,Research YouTube videos for transcription,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
244,TSK-303,Build automation posting,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
245,TSK-304,Train AI to build research tasks for people,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
246,TSK-305,List automations to learn or integrate,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
247,TSK-306,Task: Search for videos (template),High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
248,TSK-307,Hosting in Vercel (Dev account),High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
249,TSK-308,Automate library update,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
250,TSK-309,Canva download/integration,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
251,TSK-310,Create six must-have files list,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
252,TSK-311,Design core documents,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
253,TSK-312,Create Pre-Sale candidate tracking system,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,High,Task-Template-041
254,TSK-313,Add Ukandu Christopher to Pre-Sale list,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
255,TSK-314,Sign contract with Borovik for client interview,High,HR,Task,,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,Medium,Task-Template-042
256,TSK-315,Prepare Borovik for tomorrow's client interview,High,HR,Task,,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,Medium,Task-Template-042
257,TSK-316,Create candidate warming system for hot list,High,HR,Development,,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,High,Task-Template-042
258,TSK-317,Document interview requirements checklist,High,HR,Documentation,,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,Medium,Task-Template-042
259,TSK-318,Create interview scoring rubric,High,HR,Development,,HR Manager / Operations Specialist,1.5-2 hours,Internal,2,No,High,Task-Template-042
260,TSK-319,Follow up with Valeriia on trial terms,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
261,TSK-106,Find historical search queries file on Google Drive,High,AI,Task,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
262,TSK-107,Reformat LinkedIn queries for Google Maps,High,AI,Task,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
263,TSK-108,Create detailed prompt for query generation (Column H),High,AI,Development,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
264,TSK-109,Build URL parsing script,High,AI,Development,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
265,TSK-110,Extract company name from URLs,High,AI,Task,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
266,TSK-112,Implement duplicate checking against CRM,High,AI,Development,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
267,TSK-113,Test scraping with 3-4 videos about Google Maps scraping,High,AI,Testing,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
268,TSK-114,"Allocate 5 lead generators, 1-2 hours/day for Google Maps",High,AI,Task,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
269,TSK-115,Create attractive offer for leads (20 Google vs 5 LinkedIn),High,AI,Development,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
270,TSK-116,Document scraping system (20% checkpoint),High,AI,Documentation,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
271,TSK-117,Research world methodologies on Google Maps scraping,High,AI,Research,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
272,TSK-118,Create guidelines for reviews scraping direction,High,AI,Development,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
273,TSK-119,Add source marking for Google Maps data,High,AI,Task,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
274,TSK-120,Implement social media scraping,High,AI,Development,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
275,TSK-121,Test review system with live data,High,AI,Research,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
276,TSK-122,Launch system with LGN team,High,AI,Task,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
277,TSK-123,Create Job Sites folder in ENTITIES/ACCOUNTS,High,AI,Development,PRT-013,TBD,TBD,Internal,2,No,High,CUSTOM
278,TSK-124,Review other entities' taxonomy,High,AI,Research,PRT-013,TBD,TBD,Internal,2,No,High,CUSTOM
279,TSK-125,Build Job Sites entity structure,High,AI,Development,PRT-013,TBD,TBD,Internal,2,No,High,CUSTOM
280,TSK-126,Create Master JSON for Job Sites,High,AI,Development,PRT-013,TBD,TBD,Internal,2,No,High,CUSTOM
281,TSK-127,Document Job Sites entity,High,AI,Documentation,PRT-013,TBD,TBD,Internal,2,No,High,CUSTOM
282,TSK-128,Deploy v1.0 to Vercel,High,AI,Task,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
283,TSK-129,Share dashboard access with all departments,High,AI,Task,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
284,TSK-130,Fix white text display,High,AI,Maintenance,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
285,TSK-131,Add tool filtering feature,High,AI,Task,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
286,TSK-132,Implement user login tracking,High,AI,Development,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
287,TSK-133,Create user assignment system,High,AI,Development,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
288,TSK-134,Integrate UI Kit from Eleanor's work,High,AI,Design,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
289,TSK-135,Add calendar feature,High,AI,Task,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
290,TSK-136,Build API for dashboard data,High,AI,Development,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
291,TSK-137,Integrate with LibDev catalog,High,AI,Integration,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
292,TSK-138,Document dashboard usage,High,AI,Documentation,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
293,TSK-139,Create employee training materials,High,AI,Development,PRT-014,TBD,TBD,Internal,2,No,High,CUSTOM
294,TSK-140,Teach Vilhelm video parsing workflow,High,Video,Task,PRT-015,TBD,TBD,Internal,2,No,Medium,CUSTOM
295,TSK-142,Configure Vilhelm's key bindings,High,Video,Task,PRT-015,TBD,TBD,Internal,2,No,Medium,CUSTOM
296,TSK-143,Introduce Vilhelm to ENTITIES structure,High,Video,Task,PRT-015,TBD,TBD,Internal,2,No,Medium,CUSTOM
297,TSK-144,Assign Vilhelm accounts with limits,High,Video,Task,PRT-015,TBD,TBD,Internal,2,No,Medium,CUSTOM
298,TSK-145,Vilhelm: Research YouTube channels on Google Maps scraping,High,Video,Research,PRT-015,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-045
299,TSK-146,Vilhelm: Parse 3-4 videos by Monday,High,AI,Task,PRT-015,TBD,TBD,Internal,2,No,High,CUSTOM
300,TSK-147,"Vilhelm: Create ""Deep Research"" task",High,AI,Development,PRT-015,TBD,TBD,Internal,2,No,High,CUSTOM
301,TSK-148,Vilhelm: Check Online Academy for Deep Research content,High,AI,Research,PRT-015,TBD,TBD,Internal,2,No,High,CUSTOM
302,TSK-149,Vilhelm: Integrate prompts into ENTITIES ecosystem,High,AI,Integration,PRT-015,TBD,TBD,Internal,2,No,High,CUSTOM
303,TSK-150,Document current AI tools tracking system,High,AI,Documentation,PRT-016,AI Researcher / Content Specialist,5-8 hours (3-5 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-048
304,TSK-151,Add user assignment field to accounts,High,AI,Task,PRT-016,TBD,TBD,Internal,2,No,High,CUSTOM
305,TSK-152,Implement login session tracking,High,AI,Development,PRT-016,TBD,TBD,Internal,2,No,High,CUSTOM
306,TSK-153,Create token usage alerts,High,AI,Development,PRT-016,TBD,TBD,Internal,2,No,High,CUSTOM
307,TSK-154,Purchase additional AI tool accounts,High,AI,Task,PRT-016,TBD,TBD,Internal,2,No,High,CUSTOM
308,TSK-155,Sync Dropbox Tools to libdev.com,High,AI,Integration,PRT-016,TBD,TBD,Internal,2,No,High,CUSTOM
309,TSK-156,Build account rotation recommendations,High,AI,Development,PRT-016,TBD,TBD,Internal,2,No,High,CUSTOM
310,TSK-157,Design single task page layout,High,AI,Design,PRT-017,TBD,TBD,Internal,2,No,High,CUSTOM
311,TSK-158,Create prompt for task page generation,High,AI,Development,PRT-017,TBD,TBD,Internal,2,No,High,CUSTOM
312,TSK-159,Build HTML template for single task,High,AI,Development,PRT-017,TBD,TBD,Internal,2,No,High,CUSTOM
313,TSK-160,Test with Deep Research task,High,AI,Research,PRT-017,TBD,TBD,Internal,2,No,High,CUSTOM
314,TSK-161,Create research queue/line system,High,AI,Development,PRT-017,TBD,TBD,Internal,2,No,High,CUSTOM
315,TSK-162,Integrate with TASK_MANAGERS data,High,AI,Integration,PRT-017,TBD,TBD,Internal,2,No,High,CUSTOM
316,TSK-163,Create CONTENT entity folder,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
317,TSK-164,Define CONTENT entity taxonomy,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
318,TSK-165,Create Master CSV for CONTENT,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
319,TSK-166,Populate with existing tutorials,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
320,TSK-167,Research Figma AI tutorial videos,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
321,TSK-168,Build video catalog app,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
322,TSK-169,Implement clickable timestamps,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
323,TSK-170,Create minimum parse list,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
324,TSK-171,Review current video processing taxonomy,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
325,TSK-172,Identify taxonomy improvements,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
326,TSK-173,Implement taxonomy upgrades,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
327,TSK-174,Document video editor processed works,High,Video,Documentation,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-045
328,TSK-175,Define Google Drive storage locations,High,Video,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
329,TSK-176,Research Gravity AI tool capabilities,High,AI,Research,,AI Researcher / Content Specialist,5-8 hours (3-5 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-048
330,TSK-177,Integrate Responsibilities into LBS taxonomy,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
331,TSK-178,Document Gravity integration,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
332,TSK-179,Prepare shifts management system,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
333,TSK-180,Document schedule management techniques,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
334,TSK-181,Connect research to posting schedule,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
335,TSK-182,Create BUSINESSES entity folder,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
336,TSK-183,Define BUSINESSES entity taxonomy,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
337,TSK-184,Document client interview process,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
338,TSK-185,Track Friday client scheduling,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
339,TSK-186,Store interview recordings/notes,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
340,TSK-187,Define profession categories,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
341,TSK-188,Populate tutorials per profession,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
342,TSK-189,Create guidelines per profession,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
343,TSK-190,Build AI assistant framework,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
344,TSK-191,Design InnerClient concept,High,AI,Design,,TBD,TBD,Internal,2,No,High,CUSTOM
345,TSK-192,Define pricing per profession,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
346,TSK-193,Create UI for InnerClient system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
347,TSK-194,Set up human curation process,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
348,TSK-195,Sync Dropbox Tools library to libdev.com,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
349,TSK-196,Research Dropbox API synchronization,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
350,TSK-197,Build manual sync script (fallback),High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
351,TSK-198,Create knowledge gap identification process,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
352,TSK-199,Implement Read/Write/Save reminder system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
353,TSK-203,Document Monday progress,High,Design,Documentation,,Designer / Developer / Creative Professional,2 hours (45 min organization + 45 min documentation + 30 min updates),Internal,2,No,High,Task-Template-077
354,TSK-205,Review all designer portfolios,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
355,TSK-206,Mandate Dropbox work storage for designers,High,AI,Design,,TBD,TBD,Internal,2,No,High,CUSTOM
356,TSK-207,Create daily work documentation requirement,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
357,TSK-208,Diversify designer portfolios,High,AI,Design,,TBD,TBD,Internal,2,No,High,CUSTOM
358,TSK-209,Build case studies library,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
359,TSK-210,Train designers on AI tools,High,AI,Design,,TBD,TBD,Internal,2,No,High,CUSTOM
360,TSK-211,Design financial framework structure,High,AI,Design,,TBD,TBD,Internal,2,No,High,CUSTOM
361,TSK-212,Create data sets for financial wiki,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
362,TSK-213,Document calculation sources,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
363,TSK-214,Collect employee profiles for Talents,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
364,TSK-215,Create modified public profiles,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
365,TSK-216,Implement log files in every entity folder,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
366,TSK-217,Create main researchers' log,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
367,TSK-218,Build structured guidelines for manual assignment,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
368,TSK-219,Create step-by-step documentation templates,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
369,TSK-220,Identify department data gaps,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
370,TSK-221,Create TODO file system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
371,TSK-222,Build AI prompt for task distribution,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
372,TSK-223,Implement daily TODO generation,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
373,TSK-224,Document transcription best practices,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
374,TSK-225,Improve dictation-to-entity workflow,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
375,TSK-226,Fix unpredictable save locations,High,AI,Maintenance,,TBD,TBD,Internal,2,No,High,CUSTOM
376,TSK-227,Standardize report storage paths,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
377,TSK-228,Document report generation process,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
378,TSK-230,Write README with all links,High,Development,Documentation,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
379,TSK-231,Set up version tracking,High,Development,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
380,TSK-232,Document design updates log,High,Development,Documentation,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
381,TSK-030,Interviews Lists to MD Files,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
382,TSK-031,Clear Lists of Candidates Sources,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
383,TSK-032,HR Onboarding preparation,High,HR,Task,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,Medium,Task-Template-044
384,TSK-033,Integrate Individual Employee Testing,High,HR,Integration,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
385,TSK-034,Discord Bot notifications,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
386,TSK-035,Expand Industries,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
387,TSK-036,LG Message Templates,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
388,TSK-037,Prospects Architecture Improvement,High,AI,Task,PRT-009,TBD,TBD,Internal,2,No,High,CUSTOM
389,TSK-038,Feed database: 300 new leads daily,High,AI,Task,PRT-009,TBD,TBD,Internal,2,No,High,CUSTOM
390,TSK-039,Populate leads with classifications,High,AI,Task,PRT-009,TBD,TBD,Internal,2,No,High,CUSTOM
391,TSK-040,Target audience analysis,High,AI,Task,PRT-009,TBD,TBD,Internal,2,No,High,CUSTOM
392,TSK-041,Extract/analyze LG conversations,High,AI,Research,PRT-009,TBD,TBD,Internal,2,No,High,CUSTOM
393,TSK-042,Build look-alike auditory,High,AI,Development,PRT-009,TBD,TBD,Internal,2,No,High,CUSTOM
394,TSK-043,Testing Individual Scraping Techniques,High,AI,Testing,,TBD,TBD,Internal,2,No,High,CUSTOM
395,TSK-044,LG Department Core Principles Doc,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
396,TSK-045,Obligatory: Save 5 Templates + Screenshot,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
397,TSK-046,Sales Email Templates,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
398,TSK-047,Connect to Google Calendar,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
399,TSK-048,Scrape Event Metadata,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
400,TSK-049,Populate Business Entity from Sales,High,AI,Task,PRT-010,TBD,TBD,Internal,2,No,High,CUSTOM
401,TSK-050,Get CRM Data on Daily LeadGen Cards,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
402,TSK-051,Learning Flow Step-by-Step Development,High,Development,Development,,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
403,TSK-052,Track Task Completions via Microservices,High,Development,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
404,TSK-055,Task Manager Dashboard with Database,High,Development,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
405,TSK-056,n8n Image Generation Guide,High,Development,Design,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,High,Task-Template-081
406,TSK-057,Frontend OAuth Implementation,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
407,TSK-058,Personal Task Manager Web Pages,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
408,TSK-059,Add Rules for AI in Each Folder,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
409,TSK-060,Log Entity Integration,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
410,TSK-061,Keep Logs Longer,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
411,TSK-062,Develop USER Entities,High,AI,Development,PRT-005,TBD,TBD,Internal,2,No,High,CUSTOM
412,TSK-063,Review TALENTS match with Database,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
413,TSK-064,Prepare DB EXPORT Folder: LIBRARIES,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
414,TSK-065,Text Researches Recognition & Import,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
415,TSK-066,Core System Taxonomy Architecture Review,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
416,TSK-067,Prompt for Transcription Export,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
417,TSK-068,Prompts for Weekly Analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
418,TSK-069,Prompts for Daily Analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
419,TSK-070,Researches Dashboard,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
420,TSK-071,Export Dailies Summaries to ToDo App,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
421,TSK-072,Tasks Templates Execution System,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
422,TSK-073,Steps Confirmation System,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
423,TSK-074,Portfolio Diversification Strategy,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
424,TSK-075,Create More Case Studies,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
425,TSK-076,Deep Research Designer Task,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
426,TSK-077,Media Library Development,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
427,ARC-001,Add Employees Folders Relative Path,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
428,ARC-002,Expand Employees Profiles,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
429,ARC-003,Copy All Employees Profiles into Talents,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
430,ARC-004,Consider Entities v2 Architecture,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
431,ARC-005,Integrate Log System,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
432,ARC-006,Block/Fields Sub System (Similarities),High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
433,TSK-066,Core System Taxonomy Architecture Review,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
434,TSK-067,Prompt for Transcription Export,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
435,TSK-068,Prompts for Weekly Analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
436,TSK-069,Prompts for Daily Analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
437,TSK-070,Researches Dashboard,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
438,TSK-071,Export Dailies Summaries to ToDo App,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
439,TSK-001,Research to Task Manager integration,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
440,TSK-002,Pack all dailies into Week3 folder,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
441,FIX-001,Resolve duplicates in TSM-006_Workflows,High,AI,Maintenance,,TBD,TBD,Internal,2,No,High,CUSTOM
442,PRT-004,Single Sign-In Distribution System,High,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
443,PRT-005,GitHub Entities Repository Integration,High,AI,Integration,,AI Engineer / Data Analyst,1.5 hours (30 min automation run + 45 min validation + 15 min reporting),Internal,2,No,High,Task-Template-074
444,PRT-006,ID System for Services,High,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
445,PRT-008,Researches Dashboard,High,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
446,PRT-001,Video Processing Automation,High,AI,Automation,,TBD,TBD,Internal,2,No,High,CUSTOM
447,MLT-029,Search Query System,High,AI,Milestone,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
448,MLT-030,Scraper Automation,High,AI,Milestone,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
449,MLT-031,Data Processing,High,AI,Milestone,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
450,MLT-032,CRM Integration,High,AI,Milestone,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
451,MLT-033,Testing & Analytics,High,AI,Milestone,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
452,MLT-034,Company & Reviews Data Collection,High,AI,Milestone,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
453,MLT-035,Semantic Analysis Setup,High,AI,Milestone,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
454,MLT-036,Problem Score Algorithm,High,AI,Milestone,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
455,MLT-037,Recommendation Engine,High,AI,Milestone,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
456,MLT-038,Social Media Integration,High,AI,Milestone,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
457,MLT-039,Source Tracking & Documentation,High,AI,Milestone,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
458,PRT-017,Task Manager Dashboard (Single Task View),Medium,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
459,PRT-007,Research Integration with Google TODO,Medium,AI,Automation,,TBD,TBD,Internal,2,No,High,CUSTOM
460,PRT-010,Affiliation Department Creation,Low,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
461,PRT-003,Research Integration Pipeline,Low,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
