Task_ID,Task_Name,Original_Department,Reclassified_Department,Category,Priority,Matched_Template_ID,Match_Confidence,Match_Score,Match_Reasoning,Estimated_Duration,Complexity,Required_Skills,Required_Tools,Template_Steps_Count,Template_Profession,Matched_Responsibility
TSK-369,Build AI agent for n8n analysis,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-370,Generate n8n workflow from Claude,AI,AI,Task,High,Task-Template-022,High,85,"Department match (AI); Tool match (VS Code, AI Tools); Text similarity (1 common words)",1-4 minutes (automated execution),Very High,"SKL-073 (configured stacked connector workflows), SKL-074 (extracted meeting insights via Claude)","TOOL-AI-030 (Claude Desktop App), TOOL-INT-001 (Gmail MCP Connector), TOOL-INT-002 (Google Calendar MCP Connector), TOOL-INT-003 (CRM MCP Connector)",7,Operations Manager,N/A
TSK-371,Create 10+ example n8n projects,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-372,Implement daily analysis prompt reminder,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-373,Build continuous employee profile improvement system,AI,HR,Development,High,Task-Template-041,High,60,Department match (HR); Action keyword match (build); Text similarity (1 common words),2-3 hours,N/A,,"Notion, Typeform (for application forms), n8n (for integration), Google Sheets (optional for data migration)",10,HR Manager / Operations Specialist,N/A
TSK-374,Integrate attendance with employee profiles,AI,HR,Integration,High,Task-Template-039,Medium,55,Department match (HR); Action keyword match (n8n),2-3 hours (one-time setup),N/A,,"n8n Cloud (EU datacenter for GDPR), Gmail, Google Gemini API, Google Sheets",7,HR Manager / Automation Specialist,N/A
TSK-375,Analyze employee daily records,AI,HR,Research,High,Task-Template-045,Medium,45,Category match (research); Action keyword match (research),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Google Search, Text editor (VS Code/Cursor), Spreadsheet tool (for comparison matrices)",8,AI Researcher / Video Production Specialist,N/A
TSK-376,Create data injection scripts for daily notes,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-377,Build action/object extraction from daily notes,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-378,Update employee profiles automatically,AI,HR,Task,High,Task-Template-039,Medium,40,Department match (HR),2-3 hours (one-time setup),N/A,,"n8n Cloud (EU datacenter for GDPR), Gmail, Google Gemini API, Google Sheets",7,HR Manager / Automation Specialist,N/A
TSK-379,Update Prompt 6 for daily analysis,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-380,Create task template schema,AI,Development,Development,High,Task-Template-011,Medium,35,Partial department match; Action keyword match (feature),1-2 minutes,Low,,TOOL-AI-030 (Claude Desktop App),6,AI Engineer,N/A
TSK-381,Link actions/objects to responsibilities,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-382,Match research prompt naming conventions,AI,AI,Research,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (research),N/A,N/A,,,0,N/A,N/A
TSK-383,Parse recent videos for LinkedIn content,AI,Video,Task,High,TST-023_File_Count_Distribution,Medium,30,Category match (task),N/A,N/A,,,0,N/A,produce videos
TSK-384,Create carousel posts from video content,AI,SMM,Development,High,Task-Template-047,Medium,35,Category in template name; Action keyword match (develop),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Text editor (VS Code/Cursor), Lovable.dev (hands-on testing), v0.dev (free testing)",9,AI Researcher / Developer,N/A
TSK-385,Build automated posting workflow,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-386,Design step-by-step content templates,AI,Design,Design,High,TST-073_Behance_Step_03_Design_Cover_Image,High,90,Department match (Design); Category match (design); Action keyword match (design); Text similarity (1 common words),20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-387,Design microservice methodology,AI,Design,Design,High,TST-073_Behance_Step_03_Design_Cover_Image,High,90,Department match (Design); Category match (design); Action keyword match (design); Text similarity (1 common words),20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-388,Test backend generation on small entity,AI,AI,Testing,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (testing),N/A,N/A,,,0,N/A,N/A
TSK-389,Build GitHub-Dropbox sync for backend,AI,Development,Development,High,Task-Template-072,Medium,55,Category in template name; Action keyword match (develop); Tool match (GitHub),2 hours (30 min install + 1 hour config + 30 min testing),N/A,,"TOL-221 (Antigravity IDE) or TOL-201 (Cursor), TOL-003 (Gemini 3 Pro) for AI coding assistance, TOL-002 (Claude) for code review features, Git/GitHub Desktop, Package managers (npm, pip, etc.)",7,AI Engineer / DevOps Engineer,N/A
TSK-390,Create dynamic Postgres generation,AI,Development,Development,High,Task-Template-011,Medium,35,Partial department match; Action keyword match (feature),1-2 minutes,Low,,TOOL-AI-030 (Claude Desktop App),6,AI Engineer,N/A
TSK-391,Organize API tokens management,AI,Development,Task,High,TST-023_File_Count_Distribution,Medium,30,Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-392,Fix taxonomy location (move if needed),AI,Finance,Maintenance,High,Task-Template-081,Medium,40,Department match (Finance),3 hours (45 min requirements + 1.5 hours design + 45 min testing),N/A,,"TOL-119 (n8n) for workflow automation, TOL-045 (Google Sheets) for data source/destination, TOL-003 (Gemini 3 Pro) for workflow logic assistance, Accounting software API (QuickBooks, Xero), Testing environment for validation",7,Finance Manager / Automation Specialist,N/A
TSK-393,Integrate checklist items into task system,AI,AI,Integration,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (integration),N/A,N/A,,,0,N/A,N/A
TSK-394,Fix cursor flickering issue,AI,AI,Maintenance,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (maintenance),N/A,N/A,,,0,N/A,N/A
TSK-320,Implement Entity Identification System v1.0,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-321,Set up multi-instance AI tool workflow,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-322,Deploy Google AntiGravity for team,AI,Development,Task,High,Task-Template-010,Medium,45,Partial department match; Tool match (Vercel); Text similarity (1 common words),5-10 minutes with AI assistance,Medium,"SKL-071 (deployed MCP connectors via Cursor), SKL-075 (configured OAuth for Google APIs - if needed)","TOOL-DEV-026 (Cursor), TOOL-AI-030 (Claude Desktop App), TOOL-DEV-027 (Google Cloud Console - for OAuth)",8,AI Engineer,N/A
TSK-323,Automate daily employee task assignment,AI,HR,Task,High,Task-Template-039,Medium,40,Department match (HR),2-3 hours (one-time setup),N/A,,"n8n Cloud (EU datacenter for GDPR), Gmail, Google Gemini API, Google Sheets",7,HR Manager / Automation Specialist,N/A
TSK-324,Build employee choice/selection system,AI,HR,Development,High,Task-Template-041,High,60,Department match (HR); Action keyword match (build); Text similarity (1 common words),2-3 hours,N/A,,"Notion, Typeform (for application forms), n8n (for integration), Google Sheets (optional for data migration)",10,HR Manager / Operations Specialist,N/A
TSK-325,Collect Discord voice logs for analytics,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-326,Process department prompt logs daily,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-327,Convert Workflows to Projects in TASK_MANAGERS,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-328,Assign IDs to all ENTITIES folders,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-329,"Create MCP agent system (employees, libs, academy)",AI,HR,Development,High,Task-Template-042,High,60,Department match (HR); Action keyword match (system); Text similarity (1 common words),1.5-2 hours,N/A,,"n8n, Google Calendar OR Calendly, Gmail (for email notifications), Notion (for status updates)",10,HR Manager / Operations Specialist,N/A
TSK-330,Build screenshot verification automation,AI,HR,Development,High,Task-Template-041,High,60,Department match (HR); Action keyword match (build); Text similarity (1 common words),2-3 hours,N/A,,"Notion, Typeform (for application forms), n8n (for integration), Google Sheets (optional for data migration)",10,HR Manager / Operations Specialist,N/A
TSK-233,Create department-specific daily analysis prompts,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-234,Build starting point reference guides,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-235,Iterate prompts for better report quality,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-236,Process tutorials from Department DropBox,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-237,Find and download Google Drive guides in Markdown,AI,Design,Design,High,TST-073_Behance_Step_03_Design_Cover_Image,High,85,Department match (Design); Category match (design); Action keyword match (design),20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-238,Export and process from Online Academy,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-239,Create REPORTS folder in ENTITIES,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-240,Add taxonomy for REPORTS entity,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-241,Integrate IDS system (RPT-###),AI,AI,Integration,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (integration),N/A,N/A,,,0,N/A,N/A
TSK-242,Import example reports,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-243,Create report classification system,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-244,Update master taxonomy,AI,Finance,Task,High,Task-Template-081,Medium,40,Department match (Finance),3 hours (45 min requirements + 1.5 hours design + 45 min testing),N/A,,"TOL-119 (n8n) for workflow automation, TOL-045 (Google Sheets) for data source/destination, TOL-003 (Gemini 3 Pro) for workflow logic assistance, Accounting software API (QuickBooks, Xero), Testing environment for validation",7,Finance Manager / Automation Specialist,N/A
TSK-245,Create Tasks folder in Dailies,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-246,Create Plans folder in Dailies,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-247,Add employee identification system,AI,HR,Task,High,Task-Template-042,Medium,45,Department match (HR); Text similarity (1 common words),1.5-2 hours,N/A,,"n8n, Google Calendar OR Calendly, Gmail (for email notifications), Notion (for status updates)",10,HR Manager / Operations Specialist,N/A
TSK-248,Cross-reference Task Manager with Online Academy,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-249,Store Online Academy links in guides,AI,Design,Design,High,TST-073_Behance_Step_03_Design_Cover_Image,High,85,Department match (Design); Category match (design); Action keyword match (design),20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-250,Add IDs to Online Academy content,AI,SMM,Task,High,TST-023_File_Count_Distribution,Medium,30,Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-251,Apply taxonomy to Academy structure,AI,Finance,Task,High,Task-Template-081,Medium,40,Department match (Finance),3 hours (45 min requirements + 1.5 hours design + 45 min testing),N/A,,"TOL-119 (n8n) for workflow automation, TOL-045 (Google Sheets) for data source/destination, TOL-003 (Gemini 3 Pro) for workflow logic assistance, Accounting software API (QuickBooks, Xero), Testing environment for validation",7,Finance Manager / Automation Specialist,N/A
TSK-252,Create detailed onboarding tasks with steps,AI,HR,Development,High,Task-Template-041,Medium,55,Department match (HR); Action keyword match (build),2-3 hours,N/A,,"Notion, Typeform (for application forms), n8n (for integration), Google Sheets (optional for data migration)",10,HR Manager / Operations Specialist,N/A
TSK-253,Build progress tracking via task IDs in reports,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-254,Create data flow clarification project,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-255,Run methodologies skill-up project research,AI,AI,Research,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (research),N/A,N/A,,,0,N/A,N/A
TSK-256,Create VS Code instruction tutorials,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-257,Implement logging to LOG folder during data population,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-258,Implement TSM-### ID system,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-259,Create TSM-001_Project_Template,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-260,Document data import flows,AI,AI,Documentation,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (documentation),N/A,N/A,,,0,N/A,N/A
TSK-261,Define structured vs unstructured data handling,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-262,"Create input type taxonomy (Research, Video, etc.)",AI,Finance,Development,High,Task-Template-081,Medium,40,Department match (Finance),3 hours (45 min requirements + 1.5 hours design + 45 min testing),N/A,,"TOL-119 (n8n) for workflow automation, TOL-045 (Google Sheets) for data source/destination, TOL-003 (Gemini 3 Pro) for workflow logic assistance, Accounting software API (QuickBooks, Xero), Testing environment for validation",7,Finance Manager / Automation Specialist,N/A
TSK-263,Create employee TODO file system,AI,HR,Development,High,Task-Template-042,High,60,Department match (HR); Action keyword match (system); Text similarity (1 common words),1.5-2 hours,N/A,,"n8n, Google Calendar OR Calendly, Gmail (for email notifications), Notion (for status updates)",10,HR Manager / Operations Specialist,N/A
TSK-264,Write learning materials generation guide,AI,Design,Documentation,High,Task-Template-077,High,75,Department match (Design); Category in template name; Action keyword match (document),2 hours (45 min organization + 45 min documentation + 30 min updates),N/A,,"TOL-058 (Notion) for portfolio database, Google Drive for file storage, TOL-045 (Google Sheets) for project tracking, Figma/Adobe for file organization, Portfolio website platform (optional)",7,Designer / Developer / Creative Professional,design UI mockups
TSK-265,"Enforce ""prompt-first"" rule",AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-266,Create taxonomy introduction materials,AI,Finance,Development,High,Task-Template-081,Medium,40,Department match (Finance),3 hours (45 min requirements + 1.5 hours design + 45 min testing),N/A,,"TOL-119 (n8n) for workflow automation, TOL-045 (Google Sheets) for data source/destination, TOL-003 (Gemini 3 Pro) for workflow logic assistance, Accounting software API (QuickBooks, Xero), Testing environment for validation",7,Finance Manager / Automation Specialist,N/A
TSK-267,Update daily review prompts,AI,AI,Research,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (research),N/A,N/A,,,0,N/A,N/A
TSK-268,Locate all department prompts in Nov25 folders,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-269,Consolidate prompts to ENTITIES/PROMPTS,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-270,Create data import scripts,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-271,Research AirTable integration options,AI,Development,Research,High,Task-Template-045,Medium,50,Category match (research); Action keyword match (research); Text similarity (1 common words),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Google Search, Text editor (VS Code/Cursor), Spreadsheet tool (for comparison matrices)",8,AI Researcher / Video Production Specialist,N/A
TSK-272,Design Task Manager choice/selection system,AI,AI,Design,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (design),N/A,N/A,,,0,N/A,N/A
TSK-273,Import accounts to ENTITIES,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-274,Create accounts microservice,AI,Sales,Development,High,Task-Template-021,Medium,40,Department match (Sales),4-5 hours for 50 emails,N/A,,"CRM, Email Platform (Gmail), Custom GPT (Email Generation), n8n (Optional automation)",6,Sales Manager,manage sales pipeline
TSK-275,Bind gmails to tools,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-276,Integrate accounts into AI Catalog,AI,Sales,Integration,High,Task-Template-021,Medium,40,Department match (Sales),4-5 hours for 50 emails,N/A,,"CRM, Email Platform (Gmail), Custom GPT (Email Generation), n8n (Optional automation)",6,Sales Manager,manage sales pipeline
TSK-277,Build user login system with gmail,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-278,Set up database for accounts,AI,Sales,Task,High,Task-Template-021,Medium,40,Department match (Sales),4-5 hours for 50 emails,N/A,,"CRM, Email Platform (Gmail), Custom GPT (Email Generation), n8n (Optional automation)",6,Sales Manager,manage sales pipeline
TSK-279,Create reusable microservice template,AI,Development,Development,High,Task-Template-011,Medium,35,Partial department match; Action keyword match (feature),1-2 minutes,Low,,TOOL-AI-030 (Claude Desktop App),6,AI Engineer,N/A
TSK-280,Document departments folder architecture,AI,AI,Documentation,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (documentation),N/A,N/A,,,0,N/A,N/A
TSK-281,Restore data processes pipelines,AI,Sales,Task,High,Task-Template-021,Medium,40,Department match (Sales),4-5 hours for 50 emails,N/A,,"CRM, Email Platform (Gmail), Custom GPT (Email Generation), n8n (Optional automation)",6,Sales Manager,manage sales pipeline
TSK-282,Create clear file location guidance,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-283,Build progress count updating script,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-284,Create tasks import guide,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-285,Add dates to Activity 3,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-286,Verify LG data in DropBox,AI,AI,Testing,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (testing),N/A,N/A,,,0,N/A,N/A
TSK-287,Process items in IMPORTS folder,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-288,Create list of reserved names in ENTITIES,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-289,Create list of videos to transcribe,AI,Video,Development,High,Task-Template-047,Medium,35,Category in template name; Action keyword match (develop),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Text editor (VS Code/Cursor), Lovable.dev (hands-on testing), v0.dev (free testing)",9,AI Researcher / Developer,produce videos
TSK-290,Put video transcriptions into people tasks,AI,Video,Task,High,TST-023_File_Count_Distribution,Medium,30,Category match (task),N/A,N/A,,,0,N/A,produce videos
TSK-291,Run prompts for video search,AI,Video,Task,High,TST-023_File_Count_Distribution,Medium,30,Category match (task),N/A,N/A,,,0,N/A,produce videos
TSK-292,Purchase Gemini Ultra on Admin account,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-293,Create transcription execution list with IDs,AI,Video,Development,High,Task-Template-047,Medium,35,Category in template name; Action keyword match (develop),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Text editor (VS Code/Cursor), Lovable.dev (hands-on testing), v0.dev (free testing)",9,AI Researcher / Developer,produce videos
TSK-294,Build execution tracking system,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-295,Create execution update guides,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-296,Define next milestone triggers (Data Population),AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-297,Create Content Entity,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-298,Create Content Department,AI,SMM,Development,High,Task-Template-047,Medium,35,Category in template name; Action keyword match (develop),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Text editor (VS Code/Cursor), Lovable.dev (hands-on testing), v0.dev (free testing)",9,AI Researcher / Developer,N/A
TSK-299,Integrate shifts management,AI,HR,Integration,High,Task-Template-039,Medium,55,Department match (HR); Action keyword match (n8n),2-3 hours (one-time setup),N/A,,"n8n Cloud (EU datacenter for GDPR), Gmail, Google Gemini API, Google Sheets",7,HR Manager / Automation Specialist,N/A
TSK-300,Create shortcuts lesson/post,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-301,Prepare list of researches for Entity: Researches,AI,AI,Research,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (research),N/A,N/A,,,0,N/A,N/A
TSK-302,Research YouTube videos for transcription,AI,Video,Research,High,Task-Template-045,High,70,Partial department match; Category match (research); Action keyword match (research); Text similarity (1 common words),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Google Search, Text editor (VS Code/Cursor), Spreadsheet tool (for comparison matrices)",8,AI Researcher / Video Production Specialist,produce videos
TSK-303,Build automation posting,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-304,Train AI to build research tasks for people,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-305,List automations to learn or integrate,AI,AI,Integration,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (integration),N/A,N/A,,,0,N/A,N/A
TSK-306,Task: Search for videos (template),AI,Video,Task,High,TST-023_File_Count_Distribution,Medium,30,Category match (task),N/A,N/A,,,0,N/A,produce videos
TSK-307,Hosting in Vercel (Dev account),AI,Sales,Task,High,Task-Template-021,Medium,40,Department match (Sales),4-5 hours for 50 emails,N/A,,"CRM, Email Platform (Gmail), Custom GPT (Email Generation), n8n (Optional automation)",6,Sales Manager,manage sales pipeline
TSK-308,Automate library update,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-309,Canva download/integration,AI,Development,Task,High,TST-023_File_Count_Distribution,Medium,30,Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-310,Create six must-have files list,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-311,Design core documents,AI,Design,Documentation,High,Task-Template-077,High,75,Department match (Design); Category in template name; Action keyword match (document),2 hours (45 min organization + 45 min documentation + 30 min updates),N/A,,"TOL-058 (Notion) for portfolio database, Google Drive for file storage, TOL-045 (Google Sheets) for project tracking, Figma/Adobe for file organization, Portfolio website platform (optional)",7,Designer / Developer / Creative Professional,design UI mockups
TSK-312,Create Pre-Sale candidate tracking system,HR,HR,Development,High,Task-Template-041,High,60,Department match (HR); Action keyword match (build); Text similarity (1 common words),2-3 hours,N/A,,"Notion, Typeform (for application forms), n8n (for integration), Google Sheets (optional for data migration)",10,HR Manager / Operations Specialist,N/A
TSK-313,Add Ukandu Christopher to Pre-Sale list,HR,HR,Task,High,Task-Template-039,Medium,40,Department match (HR),2-3 hours (one-time setup),N/A,,"n8n Cloud (EU datacenter for GDPR), Gmail, Google Gemini API, Google Sheets",7,HR Manager / Automation Specialist,N/A
TSK-314,Sign contract with Borovik for client interview,HR,Sales,Task,High,Task-Template-021,Medium,40,Department match (Sales),4-5 hours for 50 emails,N/A,,"CRM, Email Platform (Gmail), Custom GPT (Email Generation), n8n (Optional automation)",6,Sales Manager,manage sales pipeline
TSK-315,Prepare Borovik for tomorrow's client interview,HR,Sales,Task,High,Task-Template-021,Medium,40,Department match (Sales),4-5 hours for 50 emails,N/A,,"CRM, Email Platform (Gmail), Custom GPT (Email Generation), n8n (Optional automation)",6,Sales Manager,manage sales pipeline
TSK-316,Create candidate warming system for hot list,HR,HR,Development,High,Task-Template-042,High,60,Department match (HR); Action keyword match (system); Text similarity (1 common words),1.5-2 hours,N/A,,"n8n, Google Calendar OR Calendly, Gmail (for email notifications), Notion (for status updates)",10,HR Manager / Operations Specialist,N/A
TSK-317,Document interview requirements checklist,HR,HR,Documentation,High,Task-Template-042,Medium,45,Department match (HR); Text similarity (1 common words),1.5-2 hours,N/A,,"n8n, Google Calendar OR Calendly, Gmail (for email notifications), Notion (for status updates)",10,HR Manager / Operations Specialist,N/A
TSK-318,Create interview scoring rubric,HR,HR,Development,High,Task-Template-042,High,60,Department match (HR); Action keyword match (system); Text similarity (1 common words),1.5-2 hours,N/A,,"n8n, Google Calendar OR Calendly, Gmail (for email notifications), Notion (for status updates)",10,HR Manager / Operations Specialist,N/A
TSK-319,Follow up with Valeriia on trial terms,AI,HR,Task,High,Task-Template-039,Medium,40,Department match (HR),2-3 hours (one-time setup),N/A,,"n8n Cloud (EU datacenter for GDPR), Gmail, Google Gemini API, Google Sheets",7,HR Manager / Automation Specialist,N/A
